date,actual,predicted,residual,abs_error,squared_error,model_family,spec,dataset,vix_lag1,sentiment_extreme_lag1,vix_regime,sentiment_regime
2024-06-25,0.0115640028822058,0.001961233948740758,0.009602768933465042,0.009602768933465042,9.221317118952135e-05,random_forest,sentiment_std_only,test,13.33,0.2888888888888888,normal_vix,normal_extreme_sentiment
2024-06-26,0.0025306559201838,0.0010394030930296041,0.0014912528271541958,0.0014912528271541958,2.223834994495382e-06,random_forest,sentiment_std_only,test,12.84,0.2727272727272727,normal_vix,normal_extreme_sentiment
2024-06-27,0.0019210141825352,0.0018685823520126887,5.243183052251136e-05,5.243183052251136e-05,2.7490968519413538e-09,random_forest,sentiment_std_only,test,12.55,0.3166666666666666,normal_vix,normal_extreme_sentiment
2024-06-28,-0.0053790375645701,0.0018685823520126887,-0.007247619916582788,0.007247619916582788,5.25279944552475e-05,random_forest,sentiment_std_only,test,12.24,0.2301587301587301,normal_vix,normal_extreme_sentiment
2024-07-01,0.0065502838712498,-0.002574098483955145,0.009124382355204946,0.009124382355204946,8.325435336397535e-05,random_forest,sentiment_std_only,test,12.44,0.1969696969696969,normal_vix,normal_extreme_sentiment
2024-07-02,0.0100276736053241,-0.00016752873280938168,0.010195202338133482,0.010195202338133482,0.00010394215071548241,random_forest,sentiment_std_only,test,12.22,0.2619047619047619,normal_vix,normal_extreme_sentiment
2024-07-03,0.0086939185101727,0.0016050765843691388,0.007088841925803561,0.007088841925803561,5.0251679849030334e-05,random_forest,sentiment_std_only,test,12.03,0.2868217054263566,normal_vix,normal_extreme_sentiment
2024-07-05,0.010120683737575,0.0004590561991568151,0.009661627538418184,0.009661627538418184,9.334704669112061e-05,random_forest,sentiment_std_only,test,12.09,0.2307692307692307,normal_vix,normal_extreme_sentiment
2024-07-08,0.0023299839348614,-0.0008411587585015077,0.003171142693362908,0.003171142693362908,1.0056145981668958e-05,random_forest,sentiment_std_only,test,12.48,0.3541666666666667,normal_vix,normal_extreme_sentiment
2024-07-09,0.0006593116059204,0.0003782867182084685,0.0002810248877119315,0.0002810248877119315,7.897498751350372e-08,random_forest,sentiment_std_only,test,12.37,0.3846153846153846,normal_vix,normal_extreme_sentiment
2024-07-10,0.0108131360627624,0.002046037824145213,0.008767098238617188,0.008767098238617188,7.68620115255646e-05,random_forest,sentiment_std_only,test,12.51,0.3866666666666666,normal_vix,normal_extreme_sentiment
2024-07-11,-0.0226988703442728,0.0016108929478969739,-0.024309763292169776,0.024309763292169776,0.0005909645913213252,random_forest,sentiment_std_only,test,12.85,0.2988505747126437,normal_vix,normal_extreme_sentiment
2024-07-12,0.0059261355383767,0.0018300933760398038,0.004096042162336896,0.004096042162336896,1.6777561395641514e-05,random_forest,sentiment_std_only,test,12.92,0.2698412698412698,normal_vix,normal_extreme_sentiment
2024-07-15,0.0027206716614227,-0.0026140456645218912,0.005334717325944592,0.005334717325944592,2.8459208947733417e-05,random_forest,sentiment_std_only,test,12.46,0.2285714285714285,normal_vix,normal_extreme_sentiment
2024-07-16,0.0005756105269814,0.0003293214938800538,0.00024628903310134617,0.00024628903310134617,6.065828782599599e-08,random_forest,sentiment_std_only,test,13.12,0.2467532467532467,normal_vix,normal_extreme_sentiment
2024-07-17,-0.0298286753933214,0.0003183371880084307,-0.03014701258132983,0.03014701258132983,0.0009088423675788589,random_forest,sentiment_std_only,test,13.19,0.25,normal_vix,normal_extreme_sentiment
2024-07-18,-0.0047615639049825,0.001287321769941139,-0.006048885674923639,0.006048885674923639,3.6589017908296406e-05,random_forest,sentiment_std_only,test,14.48,0.3131313131313131,normal_vix,normal_extreme_sentiment
2024-07-19,-0.0093032208057051,0.004987444859241998,-0.014290665664947098,0.014290665664947098,0.0002042231251472979,random_forest,sentiment_std_only,test,15.93,0.3695652173913043,normal_vix,normal_extreme_sentiment
2024-07-22,0.0152625290251274,0.0019385833830240333,0.013323945642103367,0.013323945642103367,0.0001775275274737253,random_forest,sentiment_std_only,test,16.52,0.3555555555555555,normal_vix,normal_extreme_sentiment
2024-07-23,-0.0034630721631034,0.0012602572314272548,-0.004723329394530655,0.004723329394530655,2.2309840569237322e-05,random_forest,sentiment_std_only,test,14.91,0.3012048192771084,normal_vix,normal_extreme_sentiment
2024-07-24,-0.0372309086993842,0.0019406453256311713,-0.039171554025015376,0.039171554025015376,0.0015344106447346983,random_forest,sentiment_std_only,test,14.72,0.2666666666666666,normal_vix,normal_extreme_sentiment
2024-07-25,-0.0106601491773646,0.0003183371880084307,-0.01097848636537303,0.01097848636537303,0.00012052716287468151,random_forest,sentiment_std_only,test,18.04,0.3333333333333333,normal_vix,normal_extreme_sentiment
2024-07-26,0.0102013275853216,0.0018738556729185388,0.00832747191240306,0.00832747191240306,6.934678845186189e-05,random_forest,sentiment_std_only,test,18.46,0.313953488372093,normal_vix,normal_extreme_sentiment
2024-07-29,0.0018816767168404,0.0003235398795975687,0.0015581368372428314,0.0015581368372428314,2.4277904035730935e-06,random_forest,sentiment_std_only,test,16.39,0.358695652173913,normal_vix,normal_extreme_sentiment
2024-07-30,-0.0139067316001359,0.0013514009593794056,-0.015258132559515305,0.015258132559515305,0.00023281060920374107,random_forest,sentiment_std_only,test,16.6,0.2621359223300971,normal_vix,normal_extreme_sentiment
2024-07-31,0.0296761534039154,0.006076876259104173,0.023599277144811227,0.023599277144811227,0.0005569258817576095,random_forest,sentiment_std_only,test,17.69,0.38,normal_vix,normal_extreme_sentiment
2024-08-01,-0.0246812141310496,0.00035609688735020566,-0.02503731101839981,0.02503731101839981,0.0006268669430320845,random_forest,sentiment_std_only,test,16.36,0.3669724770642202,normal_vix,normal_extreme_sentiment
2024-08-02,-0.0240850689020844,0.0010002599061771638,-0.025085328808261566,0.025085328808261566,0.0006292737214185977,random_forest,sentiment_std_only,test,18.59,0.2903225806451613,normal_vix,normal_extreme_sentiment
2024-08-05,-0.0300379973737647,0.005538920885935891,-0.03557691825970059,0.03557691825970059,0.0012657171128574174,random_forest,sentiment_std_only,test,23.39,0.3378378378378378,normal_vix,normal_extreme_sentiment
2024-08-06,0.0101610058221615,-0.0038138930828315962,0.013974898904993096,0.013974898904993096,0.00019529779940477722,random_forest,sentiment_std_only,test,38.57,0.2222222222222222,high_vix,normal_extreme_sentiment
2024-08-07,-0.0117152035685496,0.001939898095394634,-0.013655101663944234,0.013655101663944234,0.00018646180145265258,random_forest,sentiment_std_only,test,27.71,0.3777777777777777,high_vix,normal_extreme_sentiment
2024-08-08,0.0301253904097342,0.00033258061305030856,0.029792809796683892,0.029792809796683892,0.0008876115155813837,random_forest,sentiment_std_only,test,27.85,0.2906976744186046,high_vix,normal_extreme_sentiment
2024-08-09,0.0053770818844463,0.00862381636172572,-0.0032467344772794202,0.0032467344772794202,1.054128476595487e-05,random_forest,sentiment_std_only,test,23.79,0.4084507042253521,normal_vix,normal_extreme_sentiment
2024-08-12,0.0015614407091108,0.001197957192577054,0.00036348351653374585,0.00036348351653374585,1.321202667917379e-07,random_forest,sentiment_std_only,test,20.37,0.3380281690140845,normal_vix,normal_extreme_sentiment
2024-08-13,0.0247373173144625,0.000237377595750742,0.02449993971871176,0.02449993971871176,0.00060024704622051,random_forest,sentiment_std_only,test,20.71,0.3103448275862069,normal_vix,normal_extreme_sentiment
2024-08-14,0.0008546085488768,-0.002203928725021904,0.003058537273898704,0.003058537273898704,9.354650255827716e-06,random_forest,sentiment_std_only,test,18.12,0.4,normal_vix,normal_extreme_sentiment
2024-08-15,0.0242772947118613,0.00019444614253065595,0.024082848569330646,0.024082848569330646,0.0005799835952133111,random_forest,sentiment_std_only,test,16.19,0.3333333333333333,normal_vix,normal_extreme_sentiment
2024-08-16,0.0009420394090494,0.0016898938121487003,-0.0007478544030993003,0.0007478544030993003,5.592862082350107e-07,random_forest,sentiment_std_only,test,15.23,0.4363636363636363,normal_vix,high_extreme_sentiment
