date,model_family,spec,feature_spec_role,feature,feature_value_scaled,shap_value,abs_shap_value,dataset,tuned,best_params_json
2024-01-10,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,sentiment_std_lag1,-2.8947361260068063,0.00011815709149232134,0.00011815709149232134,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-11,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,dgs10_lag1,1.3321990914657607,-0.00012700536171905696,0.00012700536171905696,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-11,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,vix_lag1,-1.2014898220193444,-0.00022360103321261704,0.00022360103321261704,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-11,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,sentiment_mean_lag1,-0.9973748648361086,0.0006355491350404918,0.0006355491350404918,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-11,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,sentiment_std_lag1,1.781892436479254,-0.002580191008746624,0.002580191008746624,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-12,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,dgs10_lag1,1.2860572250261404,-0.00010586036660242826,0.00010586036660242826,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-12,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,vix_lag1,-1.230977971813365,2.680272882571444e-05,2.680272882571444e-05,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-12,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,sentiment_mean_lag1,-0.0044147873042041505,-0.00036376240313984454,0.00036376240313984454,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-12,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,sentiment_std_lag1,-0.8513364038050385,0.00029451531008817255,0.00029451531008817255,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-16,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,dgs10_lag1,1.2706766028796004,-7.149940938688815e-05,7.149940938688815e-05,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-16,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,vix_lag1,-1.2003102960275838,-0.00011036929208785295,0.00011036929208785295,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-16,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,sentiment_mean_lag1,-1.754476707824122,-0.0029520029202103615,0.0029520029202103615,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-16,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,sentiment_std_lag1,-1.7280319422400223,8.37340485304594e-05,8.37340485304594e-05,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-17,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,dgs10_lag1,1.355270024685571,6.092994590289891e-05,6.092994590289891e-05,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-17,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,vix_lag1,-1.0658443329668497,-0.0016163734253495932,0.0016163734253495932,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-17,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,sentiment_mean_lag1,-3.4245278042450082,0.007069553714245558,0.007069553714245558,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-17,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,sentiment_std_lag1,2.0770168039699586,-0.006630765274167061,0.006630765274167061,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-18,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,dgs10_lag1,1.3783409579053805,-0.00013560522347688675,0.00013560522347688675,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-18,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,vix_lag1,-0.9537893637495712,2.680272882571444e-05,2.680272882571444e-05,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-18,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,sentiment_mean_lag1,0.00036017771665953417,-0.000367315107723698,0.000367315107723698,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-18,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,sentiment_std_lag1,-0.18383087626667016,0.00039540103171020746,0.00039540103171020746,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-19,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,dgs10_lag1,1.4091022021984605,-0.00016798214346636087,0.00016798214346636087,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-19,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,vix_lag1,-1.0316380792057855,-0.00038046599365770817,0.00038046599365770817,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-19,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,sentiment_mean_lag1,-0.9290352485559011,0.0006200846401043236,0.0006200846401043236,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-19,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,sentiment_std_lag1,3.0193016211401242,-0.0037896421272307634,0.0037896421272307634,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-22,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,dgs10_lag1,1.416792513271731,-7.149940938688815e-05,7.149940938688815e-05,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-22,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,vix_lag1,-1.129538736521934,-0.00011036929208785295,0.00011036929208785295,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-22,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,sentiment_mean_lag1,-1.8617044190304244,-0.0029520029202103615,0.0029520029202103615,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-22,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,sentiment_std_lag1,-4.313735174283378,8.37340485304594e-05,8.37340485304594e-05,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-23,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,dgs10_lag1,1.386031268978651,-7.149940938688815e-05,7.149940938688815e-05,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-23,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,vix_lag1,-1.1425135224313032,2.3877155399532057e-06,2.3877155399532057e-06,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-23,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,sentiment_mean_lag1,2.555233714029034,-0.00025407137582078576,0.00025407137582078576,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-23,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,sentiment_std_lag1,-0.9555503294349744,0.0001658242108533159,0.0001658242108533159,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-24,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,dgs10_lag1,1.4091022021984605,-7.149940938688815e-05,7.149940938688815e-05,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
2024-01-24,xgboost,macro_mean_std,RQ3_incremental_sentiment_beyond_macro,vix_lag1,-1.218003185903996,2.3877155399532057e-06,2.3877155399532057e-06,test,True,"{""n_estimators"": 100, ""learning_rate"": 0.03, ""max_depth"": 2}"
